2
1000 1000 
1 66 118
2 119 114
3 56 154
4 141 56
5 120 165
6 104 143
7 143 58
8 75 143
9 181 127
10 75 75
11 90 116
12 161 83
13 199 96
14 123 88
15 167 116
16 51 177
17 170 188
18 184 184
19 76 129
20 108 86
21 53 50
22 140 141
23 53 76
24 166 84
25 58 69
26 80 129
27 83 69
28 185 92
29 145 165
30 108 172
31 111 158
32 52 178
33 191 93
34 147 50
35 172 89
36 74 58
37 177 174
38 156 85
39 57 153
40 85 125
41 191 88
42 62 97
43 166 131
44 162 144
45 63 154
46 180 112
47 131 174
48 157 68
49 164 130
50 76 79
