2 
150 150  
1 82 83 
2 74 73 
3 71 78 
4 83 77 
5 91 98 
6 67 59 
7 53 50 
8 39 42 
9 69 59 
10 77 77 
11 65 62 
12 60 69 
13 70 60 
14 37 47 
15 30 34 
16 37 37 
17 95 98 
18 91 97 
19 50 42 
20 48 52 
21 26 16 
22 91 97 
23 32 37 
24 49 43 
25 20 11 
26 29 19 
27 20 28 
28 58 49 
29 60 60 
30 38 29 
31 75 82 
32 74 71 
33 68 60 
34 20 16 
35 71 73 
36 46 44 
37 92 87 
38 52 44 
39 54 46 
40 24 21 
41 94 98 
42 29 36 
43 74 77 
44 35 35 
45 50 47 
46 59 54 
47 81 81 
48 96 90 
49 22 22 
50 67 71 
51 95 92 
52 91 91 
53 66 66 
54 74 82 
55 56 65 
56 32 30 
57 96 98 
58 80 76 
59 49 52 
60 67 59 
61 76 70 
62 77 67 
63 56 58 
64 91 92 
65 78 72 
66 36 43 
67 22 15 
68 51 51 
69 21 25 
70 85 84 
71 33 31 
72 28 36 
73 38 31 
74 67 68 
75 48 49 
76 59 58 
77 32 42 
78 72 64 
79 69 65 
80 75 69 
81 97 102 
82 28 28 
83 48 55 
84 40 32 
85 37 32 
86 40 50 
87 88 87 
88 47 55 
89 70 66 
90 20 12 
91 57 50 
92 73 80 
93 38 31 
94 87 93 
95 84 82 
96 42 45 
97 63 68 
98 70 78 
99 30 28 
100 67 76 
101 68 74 
102 96 96 
103 44 45 
104 95 90 
105 91 99 
106 72 79 
107 84 79 
108 75 77 
109 74 82 
110 98 105 
111 53 60 
112 97 91 
113 32 38 
114 59 59 
115 60 65 
116 37 38 
117 44 49 
118 37 45 
119 97 94 
120 72 72 
121 56 56 
122 62 58 
123 68 69 
124 29 38 
125 35 29 
126 40 37 
127 23 19 
128 77 79 
129 96 96 
130 35 31 
131 46 40 
132 53 45 
133 46 43 
134 29 29 
135 70 70 
136 84 89 
137 94 88 
138 68 62 
139 73 71 
140 26 24 
141 42 45 
142 39 38 
143 98 90 
144 100 100 
145 83 74 
146 31 25 
147 99 99 
148 98 95 
149 35 26 
150 30 26 
151 28 35 
152 33 36 
153 62 58 
154 43 43 
155 72 82 
156 63 63 
157 90 100 
158 45 47 
159 51 47 
160 41 43 
161 71 72 
162 94 99 
163 38 36 
164 95 95 
165 62 57 
166 26 36 
167 58 57 
168 25 31 
169 31 41 
170 84 86 
171 81 82 
172 72 82 
173 91 101 
174 45 40 
175 35 41 
176 68 78 
177 45 48 
178 88 85 
179 45 43 
180 21 23 
181 67 60 
182 97 97 
183 57 60 
184 46 53 
185 66 69 
186 83 82 
187 41 32 
188 25 30 
189 93 88 
190 41 44 
191 89 89 
192 58 51 
193 23 21 
194 91 83 
195 43 37 
196 47 43 
197 47 50 
198 74 65 
199 51 55 
200 93 95 
201 90 95 
202 66 61 
203 76 80 
204 49 42 
205 23 30 
206 22 22 
207 23 31 
208 34 27 
209 28 26 
210 76 76 
211 66 59 
212 84 89 
213 44 44 
214 33 28 
215 80 83 
216 44 48 
217 56 59 
218 75 72 
219 47 48 
220 74 65 
221 87 96 
222 53 53 
223 75 66 
224 23 14 
225 36 36 
226 62 56 
227 29 21 
228 74 73 
229 22 15 
230 96 101 
231 58 59 
232 33 37 
233 39 30 
234 69 77 
235 98 91 
236 77 77 
237 70 64 
238 76 74 
239 66 70 
240 32 38 
241 32 33 
242 88 90 
243 24 27 
244 78 73 
245 64 58 
246 83 78 
247 91 94 
248 58 61 
249 21 29 
250 77 72 
251 79 78 
252 74 80 
253 100 90 
254 41 40 
255 33 23 
256 90 84 
257 48 53 
258 33 31 
259 84 75 
260 27 19 
261 62 63 
262 66 57 
263 26 24 
264 31 31 
265 44 37 
266 42 39 
267 31 31 
268 64 72 
269 50 41 
270 97 87 
271 35 26 
272 28 30 
273 99 107 
274 43 38 
275 83 93 
276 35 42 
277 33 40 
278 24 25 
279 85 76 
280 23 21 
281 47 39 
282 27 24 
283 33 36 
284 58 54 
285 28 38 
286 48 47 
287 55 47 
288 58 68 
289 95 89 
290 71 66 
291 48 44 
292 82 84 
293 52 46 
294 87 89 
295 33 23 
296 49 42 
297 43 52 
298 79 89 
299 42 52 
300 33 34 
301 58 68 
302 37 33 
303 32 40 
304 68 68 
305 29 35 
306 35 32 
307 100 103 
308 55 62 
309 23 23 
310 39 41 
311 60 55 
312 98 102 
313 45 37 
314 39 42 
315 55 55 
316 29 34 
317 78 70 
318 80 87 
319 28 34 
320 86 76 
321 35 32 
322 61 54 
323 84 74 
324 29 19 
325 71 77 
326 24 26 
327 91 90 
328 77 80 
329 91 85 
330 82 90 
331 34 37 
332 54 53 
333 92 96 
334 87 93 
335 92 101 
336 29 25 
337 34 35 
338 31 33 
339 24 30 
340 35 28 
341 62 61 
342 27 17 
343 82 89 
344 79 81 
345 60 56 
346 34 33 
347 98 95 
348 93 100 
349 96 90 
350 75 77 
351 33 42 
352 26 28 
353 86 94 
354 35 42 
355 88 98 
356 91 101 
357 66 70 
358 20 26 
359 23 30 
360 23 15 
361 45 47 
362 51 57 
363 49 58 
364 96 98 
365 62 57 
366 93 93 
367 34 43 
368 30 35 
369 44 39 
370 83 88 
371 24 33 
372 64 61 
373 76 84 
374 72 68 
375 23 26 
376 85 89 
377 73 81 
378 35 39 
379 82 91 
380 51 60 
381 54 50 
382 35 39 
383 96 103 
384 77 85 
385 44 43 
386 87 87 
387 25 25 
388 58 51 
389 49 42 
390 35 27 
391 44 41 
392 47 47 
393 68 75 
394 65 69 
395 92 92 
396 41 40 
397 41 32 
398 86 95 
399 32 37 
400 66 59 
401 97 97 
402 52 48 
403 44 45 
404 22 30 
405 83 90 
406 70 61 
407 92 86 
408 40 46 
409 24 31 
410 21 21 
411 25 29 
412 43 48 
413 97 93 
414 28 23 
415 55 55 
416 62 65 
417 88 84 
418 30 23 
419 62 62 
420 93 103 
421 42 49 
422 68 71 
423 85 93 
424 77 71 
425 40 31 
426 37 31 
427 29 28 
428 30 36 
429 34 32 
430 51 57 
431 22 27 
432 41 42 
433 37 44 
434 38 31 
435 69 64 
436 23 20 
437 99 90 
438 21 21 
439 22 25 
440 24 25 
441 25 32 
442 95 89 
443 76 77 
444 92 98 
445 65 59 
446 21 12 
447 87 87 
448 34 25 
449 60 53 
450 44 41 
451 54 47 
452 44 50 
453 58 56 
454 21 31 
455 49 56 
456 87 92 
457 86 81 
458 27 36 
459 57 48 
460 80 71 
461 58 65 
462 62 62 
463 95 100 
464 43 53 
465 59 68 
466 46 52 
467 23 14 
468 90 84 
469 97 89 
470 47 38 
471 29 32 
472 100 97 
473 24 30 
474 24 30 
475 59 59 
476 49 46 
477 31 35 
478 87 96 
479 70 65 
480 65 56 
481 58 55 
482 28 34 
483 93 96 
484 27 31 
485 63 70 
486 33 42 
487 45 54 
488 38 28 
489 86 88 
490 82 81 
491 57 63 
492 74 77 
493 78 75 
494 98 92 
495 45 46 
496 57 63 
497 56 62 
498 55 48 
499 25 32 
500 81 87 
501 33 42 
502 21 24 
503 99 106 
504 100 100 
505 85 82 
506 95 98 
507 51 60 
508 25 31 
509 58 49 
510 26 33 
511 45 53 
512 73 65 
513 22 12 
514 79 69 
515 31 28 
516 35 27 
517 81 87 
518 28 34 
519 99 93 
520 48 38 
521 66 73 
522 95 95 
523 35 43 
524 42 46 
