1000 
1000 1000 1000  
1 72 45 26 
2 65 64 54 
3 50 66 74 
4 52 83 89 
5 87 45 78 
6 54 98 36 
7 25 40 97 
8 38 95 47 
9 66 45 86 
10 27 97 88 
11 84 71 96 
12 62 59 76 
13 90 59 31 
14 87 42 50 
15 84 31 87 
16 36 51 87 
17 68 74 100 
18 67 54 88 
19 34 97 94 
20 40 60 35 
21 84 62 90 
22 88 46 57 
23 68 38 94 
24 96 59 83 
25 90 78 92 
26 82 57 62 
27 40 26 71 
28 61 29 65 
29 84 78 91 
30 84 99 77 
31 93 68 69 
32 46 89 47 
33 92 44 66 
34 45 29 84 
35 38 36 89 
36 48 73 44 
37 86 78 72 
38 37 79 29 
39 89 92 59 
40 53 91 48 
41 37 57 69 
42 74 94 72 
43 64 83 31 
44 64 42 100 
45 42 30 25 
46 38 83 34 
47 91 57 92 
48 96 38 94 
49 57 49 82 
50 55 79 53 
51 97 91 35 
52 84 61 39 
53 68 62 86 
54 88 92 78 
55 53 55 44 
56 85 78 88 
57 29 78 97 
58 70 80 48 
59 49 91 36 
60 58 75 34 
61 89 30 58 
62 56 96 28 
63 36 58 42 
64 66 94 34 
65 58 75 49 
66 100 31 37 
67 31 88 97 
68 35 82 54 
69 91 60 42 
70 29 71 97 
71 37 34 51 
72 25 86 56 
73 36 89 30 
74 84 59 49 
75 75 98 74 
76 27 74 81 
77 64 42 100 
78 97 64 40 
79 60 66 81 
80 82 82 35 
81 73 65 79 
82 60 49 79 
83 49 63 73 
84 45 29 57 
85 52 84 40 
86 83 51 98 
87 73 90 58 
88 95 80 44 
89 50 47 58 
90 88 79 62 
91 40 36 96 
92 42 54 50 
93 43 39 48 
94 59 98 31 
95 76 66 76 
96 75 50 56 
97 53 25 48 
98 45 32 92 
99 56 65 68 
100 89 32 79 
101 93 41 86 
102 97 47 40 
103 44 29 81 
104 65 87 79 
105 50 38 66 
106 97 64 54 
107 26 37 70 
108 44 52 49 
109 46 52 89 
110 97 59 52 
111 47 65 66 
112 83 42 91 
113 91 82 26 
114 30 65 91 
115 85 30 45 
116 67 86 100 
117 69 56 40 
118 66 77 49 
119 96 79 71 
120 90 50 44 
121 61 95 73 
122 93 83 30 
123 89 52 80 
124 82 98 28 
125 55 56 32 
126 79 37 85 
127 55 59 94 
128 44 89 65 
129 26 80 96 
130 59 58 90 
131 63 83 64 
132 47 85 37 
133 68 39 47 
134 68 46 74 
135 25 47 97 
136 100 74 95 
137 25 96 56 
138 55 51 100 
139 65 45 41 
140 61 71 90 
141 80 97 89 
142 94 95 76 
143 25 33 91 
144 62 25 49 
145 99 69 45 
146 41 81 58 
147 93 62 100 
148 93 77 53 
149 72 65 62 
150 77 99 29 
151 42 39 84 
152 91 32 67 
153 61 27 62 
154 80 34 45 
155 76 92 46 
156 58 55 36 
157 63 44 63 
158 74 54 81 
159 51 66 76 
160 98 30 33 
161 88 33 65 
162 59 65 37 
163 90 82 75 
164 31 45 77 
165 81 55 46 
166 44 47 32 
167 69 96 31 
168 77 56 37 
169 66 31 98 
170 92 73 90 
171 26 33 43 
172 60 45 68 
173 43 92 31 
174 73 61 81 
175 84 49 91 
176 59 85 91 
177 66 100 87 
178 87 68 66 
179 43 85 34 
180 98 78 60 
181 80 74 87 
182 93 53 56 
183 54 57 80 
184 35 30 42 
185 83 99 78 
186 61 38 67 
187 59 52 78 
188 42 64 57 
189 72 56 46 
190 96 64 36 
191 85 51 56 
192 29 76 70 
193 88 27 28 
194 91 27 80 
195 58 94 39 
196 60 68 44 
197 62 99 38 
198 85 29 41 
199 47 55 27 
200 26 33 62 
201 43 25 37 
202 38 29 25 
203 64 53 47 
204 60 26 93 
205 58 66 26 
206 29 63 81 
207 66 70 70 
208 61 71 93 
209 77 92 46 
210 38 60 31 
211 26 41 100 
212 36 91 47 
213 59 92 68 
214 43 28 28 
215 91 74 88 
216 100 96 33 
217 72 68 50 
218 40 76 49 
219 50 57 40 
220 92 57 90 
221 63 96 42 
222 44 51 60 
223 91 76 39 
224 100 97 83 
225 90 95 36 
226 40 46 66 
227 37 85 100 
228 37 76 59 
229 39 69 96 
230 43 78 32 
231 57 45 37 
232 71 83 92 
233 33 96 85 
234 74 76 34 
235 73 87 41 
236 48 48 79 
237 33 56 82 
238 62 88 32 
239 71 52 31 
240 51 79 25 
241 70 94 78 
242 63 39 54 
243 79 55 54 
244 100 70 33 
245 36 97 70 
246 70 75 73 
247 53 67 75 
248 83 71 66 
249 40 93 53 
250 94 46 79 
251 69 34 100 
252 40 73 100 
253 44 49 57 
254 89 37 44 
255 90 91 43 
256 41 29 65 
257 59 50 70 
258 58 29 65 
259 67 28 30 
260 62 74 67 
261 83 96 41 
262 72 48 49 
263 27 76 30 
264 52 91 81 
265 42 51 63 
266 87 58 35 
267 83 53 47 
268 65 33 94 
269 48 46 64 
270 99 60 83 
271 41 65 74 
272 83 85 50 
273 79 62 42 
274 63 78 27 
275 62 91 98 
276 84 76 30 
277 48 95 77 
278 27 75 33 
279 69 42 44 
280 39 65 63 
281 86 86 81 
282 91 97 36 
283 85 67 27 
284 96 56 43 
285 89 72 25 
286 35 39 33 
287 38 39 89 
288 41 65 44 
289 58 83 28 
290 43 84 98 
291 74 63 91 
292 54 99 75 
293 87 81 94 
294 60 97 52 
295 29 87 41 
296 26 92 65 
297 39 62 41 
298 31 62 45 
299 32 36 92 
300 49 70 57 
301 43 39 97 
302 96 49 40 
303 51 54 42 
304 50 61 62 
305 100 64 70 
306 43 89 73 
307 56 55 47 
308 59 48 91 
309 69 74 100 
310 64 58 91 
311 33 35 39 
312 39 50 88 
313 39 59 47 
314 82 73 51 
315 91 49 62 
316 30 69 52 
317 83 25 48 
318 83 42 48 
319 35 59 93 
320 62 93 36 
321 33 81 83 
322 73 87 68 
323 65 92 36 
324 41 63 92 
325 97 32 84 
326 50 65 70 
327 32 76 43 
328 53 92 27 
329 64 27 60 
330 79 67 33 
