1000 
100 100 100  
1 18 19 1 
2 11 34 46 
3 29 24 34 
4 29 44 19 
5 36 45 40 
6 21 23 29 
7 25 15 2 
8 3 45 41 
9 14 43 41 
10 43 3 4 
11 27 36 31 
12 36 30 50 
13 25 21 14 
14 34 33 49 
15 22 36 13 
16 23 46 3 
17 49 28 35 
18 10 35 22 
19 27 33 22 
20 47 4 7 
21 4 49 48 
22 47 37 32 
23 5 15 5 
24 36 17 7 
25 29 45 22 
26 32 15 25 
27 8 17 5 
28 11 50 27 
29 46 37 42 
30 34 1 42 
31 6 43 37 
32 25 41 6 
33 33 19 32 
34 49 29 3 
35 20 21 13 
36 20 50 38 
37 31 10 27 
38 14 14 37 
39 33 47 15 
40 2 4 36 
41 45 43 10 
42 48 9 42 
43 21 22 15 
44 27 2 1 
45 30 2 25 
46 29 6 10 
47 49 11 11 
48 15 4 28 
49 42 36 47 
50 30 25 42 
51 7 25 18 
52 40 32 25 
53 12 30 8 
54 16 10 38 
55 17 16 48 
56 44 11 43 
57 21 2 1 
58 50 35 7 
59 24 2 37 
60 28 45 22 
61 43 45 4 
62 22 44 19 
63 26 14 16 
64 35 41 24 
65 27 4 35 
66 46 5 46 
67 50 47 45 
68 3 21 18 
69 48 31 28 
70 23 3 47 
71 37 16 24 
72 39 10 24 
73 44 5 32 
74 15 17 16 
75 5 34 47 
76 18 44 49 
77 22 1 2 
78 6 4 46 
79 42 33 22 
80 15 48 25 
81 42 50 34 
82 46 28 13 
83 44 8 18 
84 43 48 47 
85 19 5 34 
86 42 4 48 
87 3 7 42 
88 26 6 36 
89 1 21 34 
90 45 35 41 
91 1 11 17 
92 14 30 18 
93 41 27 25 
94 8 3 41 
95 1 26 34 
96 40 7 24 
97 24 37 10 
98 18 10 13 
99 35 17 36 
100 5 21 41 
101 9 44 9 
102 17 25 10 
103 1 13 20 
104 36 12 13 
105 10 29 40 
106 9 27 31 
107 37 19 6 
108 46 46 42 
109 42 34 45 
110 32 37 39 
111 26 43 21 
112 37 1 31 
113 5 24 49 
114 13 25 37 
115 48 8 27 
116 48 31 13 
117 20 15 39 
118 13 13 6 
119 44 38 17 
120 1 10 30 
121 44 15 24 
122 7 24 33 
123 8 2 14 
124 27 49 3 
125 20 42 23 
126 21 21 26 
127 30 36 47 
128 5 42 14 
129 44 11 27 
130 19 30 28 
131 28 35 48 
132 23 7 4 
133 5 32 35 
134 30 42 38 
135 33 20 14 
136 28 45 4 
137 34 36 43 
138 50 7 21 
139 38 30 18 
140 48 19 39 
141 29 20 24 
142 1 9 25 
143 43 11 36 
144 40 1 18 
145 32 13 24 
146 37 21 48 
147 21 35 9 
148 23 42 23 
149 26 35 26 
150 1 47 45 
151 10 39 2 
152 42 9 24 
153 37 48 14 
154 13 12 46 
155 41 8 25 
156 3 41 50 
157 5 42 37 
158 15 8 4 
159 50 44 40 
160 23 47 28 
161 13 33 2 
162 15 40 30 
163 42 15 33 
164 19 25 11 
165 12 36 10 
166 44 46 11 
167 12 49 16 
168 43 32 38 
169 40 34 20 
170 22 38 6 
171 46 41 41 
172 40 37 5 
173 10 44 40 
174 47 26 49 
175 14 50 13 
176 26 19 6 
177 33 32 17 
178 22 44 30 
179 19 41 29 
180 3 13 45 
181 6 23 28 
182 33 13 47 
183 15 29 37 
184 1 25 9 
185 42 37 16 
186 8 27 21 
187 28 8 11 
188 45 1 23 
189 28 28 50 
190 35 25 47 
191 5 10 49 
192 13 2 26 
193 15 25 24 
194 41 34 3 
195 3 27 7 
196 7 45 32 
197 47 25 14 
198 10 19 19 
199 10 41 41 
200 37 21 1 
201 2 34 16 
202 26 4 38 
