3
40 40 40
1 25 32 30
2 33 11 25
3 33 9 27
4 2 29 29
5 23 15 34
6 17 4 33
7 30 2 8
8 22 8 18
9 34 14 19
10 28 20 22
11 5 3 1
12 26 8 4
13 7 22 21
14 34 19 35
15 22 22 20
16 11 25 23
17 16 5 28
18 7 27 32
19 32 29 28
20 17 15 34
21 20 20 2
22 31 10 28
23 22 2 18
24 17 5 7
25 13 14 28
26 3 10 27
27 34 3 2
28 17 27 15
29 4 30 7
30 29 9 24
31 30 21 17
32 11 23 25
33 34 17 6
34 15 28 28
35 13 9 7
36 33 20 33
37 6 10 10
38 1 17 26
39 2 2 30
40 28 28 6
41 34 22 17
42 5 7 21
43 9 31 14
44 8 3 8
45 8 34 16
46 33 33 22
47 11 10 33
48 21 2 1
49 1 21 1
50 28 13 27
51 12 6 25
52 35 3 27
53 28 29 1
54 28 23 17
55 14 18 17
56 31 19 10
57 5 2 31
58 32 16 10
59 21 12 29
60 23 15 25
61 31 5 3
62 25 34 4
63 16 32 8
64 12 11 17
65 1 13 33
66 21 17 12
67 24 23 8
68 11 10 20
69 6 26 30
70 8 2 34
71 7 24 21
72 33 9 9
73 30 30 21
74 13 12 18
75 11 5 23
76 12 16 12
77 15 24 25
78 8 24 23
79 13 12 31
80 12 22 5
81 9 17 9
82 22 2 31
83 13 17 1
84 11 5 18
85 34 33 29
86 25 7 8
87 13 7 25
88 3 28 29
89 20 33 32
90 6 28 27
91 25 7 16
92 20 27 20
93 20 6 2
94 13 2 27
95 5 22 24
96 27 28 27
97 26 21 11
98 26 23 24
99 2 20 30
100 1 4 5
101 17 30 27
102 17 18 11
103 26 2 3
104 14 31 20
105 19 5 12
106 19 8 11
107 19 12 24
108 7 32 8
109 20 11 14
110 24 26 17
111 24 14 8
112 11 17 19
113 31 9 15
114 24 34 23
115 6 21 14
116 6 20 29
117 21 19 7
118 25 14 33
119 33 8 10
120 4 3 22
121 16 4 11
122 4 24 23
123 2 18 19
124 8 21 15
125 14 9 2
126 14 34 25
127 3 25 5
128 24 20 33
129 22 22 17
130 28 4 15
131 13 29 16
132 30 23 29
133 2 35 11
134 35 15 9
135 34 6 4
136 28 19 13
137 30 29 18
138 6 30 34
139 6 20 14
140 17 12 26
141 33 16 34
142 2 5 32
143 20 32 32
144 23 25 16
145 13 13 34
146 6 15 21
147 10 2 3
148 33 5 12
149 30 7 21
150 14 10 15
151 22 25 35
152 27 24 27
153 10 19 12
154 28 35 18
155 5 32 25
156 24 2 33
157 21 30 3
158 28 11 28
159 10 24 22
160 4 4 32
161 30 27 5
162 8 8 32
163 32 14 27
164 23 4 13
165 19 19 9
166 20 21 7
167 6 27 2
168 28 11 30
169 25 28 16
170 12 26 29
171 7 14 4
172 1 9 6
173 1 12 5
174 34 19 27
175 22 11 20
176 28 4 14
177 11 32 33
178 18 15 16
179 31 31 16
180 16 15 18
181 27 24 1
182 17 19 23
183 4 10 6
184 8 3 34
185 24 23 32
186 4 2 13
187 29 25 10
188 5 22 28
189 22 19 6
190 3 29 35
191 31 35 8
192 24 20 5
193 31 10 34
194 18 28 31
195 22 15 14
196 6 25 12
197 10 29 19
198 6 27 27
199 6 14 16
200 18 17 27
201 20 30 19
202 35 12 11
203 34 29 8
204 31 31 19
205 28 28 22
206 27 22 27
207 5 33 34
208 22 13 11
209 20 9 3
210 17 5 5
211 25 34 15
212 2 11 19
213 27 26 15
214 25 5 11
215 30 16 1
216 9 32 12
217 11 11 11
218 3 29 33
219 7 35 9
220 6 35 22
221 21 33 9
222 22 8 22
223 28 10 35
224 21 2 18
225 17 17 35
226 13 15 2
227 10 20 31
228 4 5 18
229 2 7 20
230 21 6 2
231 23 25 3
232 31 16 32
233 17 23 22
234 19 21 13
235 7 5 12
236 24 32 6
237 30 12 11
238 10 34 19
239 26 19 27
240 2 9 29
241 31 22 7
242 32 29 34
243 28 20 25
244 13 34 18
245 27 33 18
246 22 21 24
247 11 26 32
248 3 34 2
249 18 5 5
250 13 28 18
251 12 12 23
252 16 6 34
253 35 17 35
254 26 12 1
255 25 16 1
256 20 33 33
257 4 19 28
258 11 10 1
259 30 4 27
260 28 15 30
261 35 7 1
262 29 14 21
263 15 24 2
264 19 6 6
265 22 17 9
266 32 10 12
267 20 31 11
268 13 21 9
269 15 2 23
270 3 23 17
271 34 6 1
272 25 4 26
273 12 19 20
274 7 21 8
275 32 33 30
276 35 34 12
277 19 17 19
278 21 13 12
279 32 15 24
280 28 5 10
281 9 28 35
282 31 6 32
283 7 18 18
284 30 1 10
285 5 20 31
286 12 3 21
287 7 28 28
288 16 9 33
289 24 6 12
290 22 22 5
291 29 31 2
292 22 28 6
293 20 19 12
294 19 14 26
295 31 6 2
296 29 6 17
297 26 7 28
298 34 1 34
299 25 2 20
300 5 21 7
301 13 23 7
302 20 13 31
303 27 13 1
304 22 14 30
305 13 8 24
306 13 3 30
307 15 18 5
308 18 1 30
309 5 19 5
310 8 17 14
311 9 34 5
312 35 12 24
313 13 22 6
314 25 8 6
315 6 24 16
316 13 29 28
317 19 26 1
318 9 18 7
319 30 15 4
320 15 13 23
321 14 14 25
322 28 2 15
323 35 16 23
324 34 9 14
325 4 33 12
326 11 28 31
327 2 19 2
328 13 7 20
329 9 23 35
330 9 26 8
331 12 11 12
332 26 17 32
333 10 12 5
334 35 33 5
335 10 33 2
336 25 21 8
337 7 7 13
338 14 26 7
339 29 21 35
340 3 22 10
341 28 24 20
342 25 15 24
343 27 34 25
344 14 15 21
345 21 20 28
346 15 9 27
347 1 2 2
348 34 19 23
349 10 30 23
350 22 31 11
351 4 20 22
352 20 20 20
353 23 27 1
354 30 22 16
355 18 27 1
356 12 30 21
357 2 23 3
358 20 19 5
359 22 6 31
360 35 6 30
361 33 33 29
362 4 28 19
363 9 18 1
364 9 6 8
365 27 6 32
366 26 3 29
367 7 18 32
368 2 3 3
369 9 4 7
370 11 19 7
371 18 11 12
372 3 2 15
373 1 28 10
374 29 2 35
375 18 16 35
376 14 24 33
377 8 1 23
378 29 6 26
379 17 34 2
380 13 13 18
381 16 17 20
382 28 22 22
383 24 24 8
384 16 25 14
385 31 23 25
386 34 12 16
387 20 7 2
388 21 33 29
389 19 25 35
390 24 19 18
391 23 31 18
392 8 31 13
393 8 27 4
394 14 32 26
395 27 29 27
396 15 28 26
397 16 25 33
398 30 11 24
399 21 22 5
400 5 12 4
