3
40 40 40  
1 25 8 17 
2 18 34 18 
3 19 11 25 
4 25 34 30 
5 17 10 12 
6 7 25 20 
7 31 12 22 
8 22 27 31 
9 24 21 26 
10 34 7 19 
11 7 8 23 
12 15 23 15 
13 17 29 16 
14 13 12 25 
15 29 6 1 
16 27 19 7 
17 34 14 18 
18 29 31 20 
19 29 31 12 
20 19 25 25 
21 25 24 23 
22 28 9 6 
23 26 21 7 
24 31 28 28 
25 7 10 13 
26 6 32 15 
27 34 29 4 
28 13 34 9 
29 20 1 28 
30 34 6 20 
31 24 25 17 
32 28 9 20 
33 32 15 19 
34 11 18 7 
35 10 21 7 
36 1 16 27 
37 28 34 16 
38 32 3 30 
39 35 8 26 
40 23 26 29 
41 10 8 8 
42 15 10 11 
43 22 19 4 
44 8 24 10 
45 23 12 7 
46 25 17 25 
47 22 13 11 
48 27 29 31 
49 3 3 22 
50 27 3 6 
51 17 34 17 
52 30 3 22 
53 8 20 34 
54 3 24 20 
55 13 10 24 
56 25 24 15 
57 8 9 1 
58 29 13 4 
59 35 13 35 
60 26 15 5 
61 34 19 17 
62 3 11 18 
63 4 8 9 
64 23 8 13 
65 27 7 10 
66 1 20 1 
67 33 17 28 
68 21 19 22 
69 22 17 20 
70 18 3 22 
71 13 31 31 
72 30 29 2 
73 34 3 7 
74 12 31 17 
75 2 29 1 
76 12 31 13 
77 10 35 1 
78 22 20 7 
79 11 12 29 
80 17 33 3 
81 17 17 7 
82 1 29 34 
83 1 20 14 
84 29 11 33 
85 13 25 27 
86 21 3 24 
87 10 26 11 
88 7 20 32 
89 12 4 24 
90 12 20 27 
91 23 16 7 
92 12 2 11 
93 28 30 6 
94 21 27 26 
95 6 12 35 
96 13 1 27 
97 4 14 12 
98 13 32 24 
99 23 28 24 
100 6 16 12 
101 6 16 23 
102 12 10 33 
103 18 6 21 
104 32 16 27 
105 7 22 15 
106 8 29 16 
107 10 28 10 
108 28 10 14 
109 27 27 19 
110 19 9 24 
111 17 18 18 
112 23 13 23 
113 5 1 35 
114 2 8 7 
115 12 8 12 
116 11 25 32 
117 31 13 23 
118 29 23 14 
119 34 5 7 
120 5 11 30 
121 14 17 19 
122 27 35 34 
123 2 24 32 
124 1 24 24 
125 25 20 9 
126 29 20 5 
127 22 35 35 
128 20 27 17 
129 23 28 12 
130 6 23 23 
131 16 32 10 
132 32 32 30 
133 8 34 25 
134 9 24 11 
135 15 2 20 
136 11 20 8 
137 24 23 19 
138 21 17 33 
139 24 22 1 
140 18 4 33 
141 21 30 35 
142 16 12 19 
143 33 28 31 
144 34 10 26 
145 18 31 35 
146 3 12 25 
147 10 1 35 
148 19 17 5 
149 31 31 1 
150 19 24 12 
151 21 8 27 
152 30 7 8 
153 12 30 35 
154 33 18 30 
155 12 6 20 
156 21 34 24 
157 33 3 3 
158 21 9 2 
159 25 11 31 
160 2 11 20 
161 21 32 31 
162 17 20 19 
163 6 23 9 
164 3 14 13 
165 5 18 25 
166 34 23 10 
167 28 21 23 
168 3 6 29 
169 23 19 28 
170 28 24 18 
171 16 32 16 
172 30 26 9 
173 28 9 35 
174 6 3 19 
175 30 34 8 
176 15 29 21 
177 14 18 28 
178 4 21 2 
179 31 17 9 
180 28 33 30 
181 24 24 23 
182 11 4 20 
183 6 8 16 
184 33 24 7 
185 15 30 27 
186 18 12 6 
187 5 6 33 
188 33 7 6 
189 31 23 10 
190 31 34 32 
191 3 1 26 
192 25 25 8 
193 18 24 6 
194 5 32 1 
195 21 13 6 
196 11 32 21 
197 31 4 15 
198 25 26 34 
199 33 35 23 
200 6 27 35 
201 19 16 2 
202 33 26 19 
203 32 21 13 
204 10 5 27 
205 1 20 17 
206 3 31 25 
207 19 28 23 
208 20 30 5 
209 3 13 8 
210 29 13 16 
211 29 29 4 
212 19 3 11 
213 35 11 26 
214 22 5 15 
215 3 30 24 
216 14 35 34 
217 21 27 30 
218 8 14 33 
219 31 4 8 
220 17 1 2 
221 7 12 7 
222 14 22 35 
223 7 12 22 
224 21 20 7 
225 3 14 18 
226 7 12 17 
227 13 35 1 
228 26 18 13 
229 30 19 15 
230 29 5 28 
231 15 24 29 
232 20 7 15 
233 31 17 33 
234 9 33 20 
235 7 5 16 
236 18 8 5 
237 23 17 19 
238 9 8 1 
239 25 22 2 
240 32 17 10 
241 21 18 33 
242 17 8 12 
243 9 22 14 
244 18 6 1 
245 2 28 24 
246 5 11 22 
247 1 12 13 
248 28 1 16 
249 11 34 1 
250 33 27 25 
251 35 8 13 
252 2 7 28 
253 33 24 22 
254 5 12 23 
255 7 7 29 
256 9 29 28 
257 25 19 31 
258 8 5 13 
259 34 15 15 
260 18 8 25 
261 30 1 1 
262 29 17 13 
263 17 24 33 
264 31 9 7 
265 30 32 8 
266 35 35 8 
267 13 25 26 
268 20 14 27 
269 28 25 33 
270 34 6 18 
271 10 25 35 
272 25 29 34 
