800 
100 100 100  
1 39 22 49 
2 22 36 30 
3 2 16 35 
4 40 32 18 
5 41 38 42 
6 12 47 5 
7 12 46 22 
8 44 29 1 
9 9 20 41 
10 18 25 33 
11 14 13 30 
12 34 43 17 
13 14 6 39 
14 21 8 45 
15 35 44 11 
16 6 14 39 
17 29 20 10 
18 30 25 23 
19 21 24 21 
20 18 48 23 
21 24 42 21 
22 9 25 38 
23 44 4 33 
24 37 6 47 
25 45 6 40 
26 46 8 24 
27 8 47 41 
28 14 45 12 
29 6 15 25 
30 37 50 46 
31 29 32 37 
32 14 49 44 
33 43 33 49 
34 25 6 20 
35 10 39 18 
36 42 20 17 
37 4 34 17 
38 35 4 28 
39 3 16 37 
40 35 38 6 
41 2 47 29 
42 34 14 24 
43 24 11 7 
44 39 13 26 
45 19 24 5 
46 48 45 13 
47 32 28 10 
48 43 10 5 
49 21 34 3 
50 33 41 46 
51 37 25 46 
52 46 36 38 
53 43 29 26 
54 33 34 31 
55 46 6 14 
56 41 42 19 
57 9 36 21 
58 31 10 41 
59 1 29 46 
60 4 6 24 
61 48 23 12 
62 21 26 24 
63 25 18 33 
64 23 13 5 
65 22 30 16 
66 19 18 23 
67 41 37 50 
68 28 32 24 
69 18 14 11 
70 18 8 12 
71 5 13 9 
72 6 1 1 
73 39 36 23 
74 34 34 10 
75 35 14 50 
76 33 3 19 
77 48 49 39 
78 38 4 43 
79 16 10 4 
80 14 7 7 
81 5 4 44 
82 14 40 30 
83 42 34 21 
84 34 6 48 
85 42 41 12 
86 25 24 42 
87 42 50 11 
88 11 6 34 
89 48 19 9 
90 8 47 28 
91 47 2 31 
92 45 30 40 
93 48 1 3 
94 46 31 24 
95 35 18 41 
96 31 48 26 
97 37 8 12 
98 36 21 19 
99 12 31 25 
100 43 10 30 
101 30 14 7 
102 2 2 48 
103 40 6 46 
104 45 47 41 
105 46 28 32 
106 22 37 18 
107 40 17 34 
108 11 8 7 
109 36 13 8 
110 7 10 21 
111 35 30 8 
112 35 41 43 
113 16 34 17 
114 21 44 24 
115 21 30 1 
116 40 47 23 
117 13 28 36 
118 35 1 13 
119 39 14 6 
120 14 44 42 
121 13 1 44 
122 24 21 36 
123 8 5 8 
124 48 24 36 
125 23 32 22 
126 44 38 38 
127 36 27 12 
128 14 8 19 
129 37 16 43 
130 5 2 50 
131 30 30 1 
132 30 32 36 
133 47 20 1 
134 36 21 21 
135 6 15 25 
136 29 40 17 
137 18 47 43 
138 24 15 46 
139 17 28 11 
140 36 15 32 
141 47 37 40 
142 19 28 17 
143 1 25 28 
144 7 50 12 
145 48 29 26 
146 34 31 48 
147 12 32 48 
148 4 20 4 
149 48 19 8 
150 40 20 33 
151 8 11 35 
152 49 45 11 
153 8 50 42 
154 39 29 33 
155 2 21 32 
156 23 18 21 
157 26 3 42 
158 30 17 39 
159 27 6 9 
160 35 26 46 
161 2 39 23 
162 3 9 8 
163 43 41 9 
164 22 15 25 
165 22 40 15 
166 18 44 40 
167 24 5 42 
168 28 49 38 
169 48 43 30 
170 34 43 34 
171 21 32 50 
172 38 48 25 
173 10 5 14 
174 29 17 4 
175 29 29 46 
176 37 35 9 
177 23 6 48 
178 45 35 27 
179 19 31 30 
180 44 13 33 
181 49 17 18 
182 33 46 25 
183 13 26 5 
184 13 29 34 
185 17 41 33 
186 16 15 3 
187 4 5 48 
188 38 48 25 
189 29 9 37 
190 3 14 2 
191 43 16 48 
192 27 19 31 
193 36 5 13 
194 16 7 8 
195 15 2 18 
196 31 15 30 
197 48 27 45 
198 4 9 31 
199 22 17 22 
200 11 50 27 
201 50 43 25 
202 48 25 32 
203 28 44 20 
204 37 17 32 
205 34 8 32 
206 47 41 48 
207 3 13 18 
208 32 26 18 
209 6 41 15 
210 25 9 25 
211 38 38 35 
212 36 25 45 
213 23 22 2 
214 3 49 5 
215 13 9 36 
216 14 22 14 
217 30 50 8 
218 17 30 39 
219 31 31 17 
220 26 48 25 
221 43 28 41 
222 45 47 12 
223 5 14 29 
224 24 17 5 
225 9 6 45 
226 44 44 11 
227 44 47 9 
228 17 9 39 
229 22 2 47 
230 43 35 37 
231 30 29 37 
232 43 26 46 
233 6 2 24 
234 15 24 31 
235 24 4 21 
236 35 14 34 
237 21 26 17 
238 41 25 41 
239 18 12 22 
240 1 40 35 
241 39 44 39 
242 44 44 11 
243 12 8 11 
244 9 4 23 
245 14 42 26 
246 10 11 31 
247 1 10 1 
248 43 13 23 
249 30 9 12 
250 22 10 14 
251 27 20 26 
252 19 33 22 
253 8 12 16 
254 14 26 25 
255 21 41 8 
256 34 24 24 
257 36 22 1 
258 47 19 37 
259 11 5 9 
260 10 25 2 
261 12 30 14 
262 27 1 1 
263 6 38 18 
264 15 8 27 
265 8 24 38 
266 5 13 25 
267 13 45 46 
268 33 9 22 
269 2 23 38 
270 13 39 7 
271 16 2 8 
272 28 38 26 
273 36 7 15 
274 32 4 11 
275 2 27 26 
276 26 34 34 
277 23 39 21 
278 27 43 31 
279 38 25 26 
280 39 44 18 
281 14 43 7 
282 7 10 15 
283 46 11 32 
284 27 1 37 
285 45 17 49 
286 7 16 8 
287 44 27 27 
288 29 40 39 
289 30 25 32 
290 6 27 49 
291 9 12 5 
292 23 16 24 
293 17 11 8 
294 37 34 34 
295 37 36 37 
296 46 48 31 
297 23 50 19 
298 33 13 2 
299 23 36 7 
300 37 19 4 
301 19 47 3 
302 37 50 30 
303 17 4 50 
304 9 34 11 
305 42 23 10 
306 19 20 28 
307 19 16 33 
308 33 39 20 
309 7 24 1 
310 35 1 21 
311 10 36 30 
312 47 3 6 
313 38 24 1 
314 11 17 18 
315 25 18 4 
316 34 24 37 
317 38 20 17 
318 27 1 4 
319 2 30 3 
320 38 38 33 
321 28 48 6 
322 22 3 27 
323 23 29 13 
324 24 47 12 
325 14 4 22 
326 2 5 17 
327 29 23 13 
328 43 1 46 
329 47 19 10 
330 47 15 48 
331 36 48 12 
332 17 9 40 
333 18 11 44 
334 8 46 1 
335 13 39 45 
336 40 30 37 
337 24 24 14 
338 17 28 4 
339 43 25 18 
340 19 29 27 
341 12 10 38 
342 34 32 43 
343 29 3 2 
344 42 9 18 
345 28 48 36 
346 18 2 1 
347 32 48 23 
348 12 27 29 
349 35 38 1 
350 30 8 2 
351 2 17 18 
352 22 31 14 
353 12 16 11 
354 20 18 27 
355 31 17 41 
356 22 50 33 
357 18 48 33 
358 12 42 45 
359 31 34 29 
360 21 21 14 
361 24 13 43 
362 7 3 22 
363 8 35 3 
364 23 40 34 
365 20 33 5 
366 30 36 11 
367 33 7 38 
368 5 10 11 
369 4 6 13 
370 27 49 6 
371 45 34 8 
372 18 44 20 
373 41 44 11 
374 37 37 11 
375 37 49 50 
376 21 2 20 
377 27 2 1 
378 7 3 40 
379 41 39 21 
380 50 43 39 
381 26 24 36 
382 45 9 49 
383 44 35 39 
384 20 18 32 
385 7 19 23 
386 25 25 36 
387 49 9 17 
388 11 8 43 
389 2 16 5 
390 43 21 14 
391 47 50 33 
392 43 47 9 
393 4 10 17 
394 20 36 17 
395 7 21 19 
396 12 7 19 
397 5 36 12 
398 37 4 23 
399 5 37 15 
400 41 32 10 
401 30 33 19 
402 10 23 41 
403 25 31 40 
404 45 39 48 
405 23 28 17 
406 1 45 36 
407 28 33 37 
408 6 40 10 
409 1 31 9 
410 37 19 27 
411 49 26 29 
412 36 7 23 
413 22 25 11 
414 25 20 27 
415 24 50 50 
416 8 22 24 
417 39 38 28 
418 15 7 11 
419 9 35 11 
420 2 3 5 
421 46 8 29 
422 18 49 10 
423 25 38 26 
424 37 9 44 
425 16 9 28 
426 48 1 42 
427 6 50 5 
428 21 5 46 
429 34 9 38 
430 24 42 23 
431 20 42 12 
432 30 42 22 
433 6 23 38 
434 11 39 34 
435 49 22 16 
436 28 35 12 
437 18 39 18 
438 48 38 36 
439 50 5 23 
440 43 44 38 
441 49 43 11 
442 45 48 21 
443 14 16 26 
444 39 22 12 
445 20 26 44 
446 46 49 10 
447 10 42 46 
448 35 50 46 
449 12 1 40 
450 12 7 20 
451 2 19 18 
452 50 4 31 
453 17 11 18 
454 24 13 32 
455 32 30 40 
456 4 36 2 
457 46 11 12 
458 4 46 46 
459 6 7 31 
460 3 11 19 
461 22 29 31 
462 7 6 1 
463 42 23 21 
464 40 29 16 
465 45 6 23 
466 21 20 5 
467 44 37 43 
468 31 24 19 
469 11 2 34 
470 34 27 30 
471 46 23 33 
472 25 40 2 
473 4 24 15 
474 34 7 4 
475 39 21 25 
476 23 34 34 
477 22 50 30 
478 11 45 44 
479 47 7 26 
480 20 28 34 
481 36 8 47 
482 39 30 38 
483 44 3 29 
484 20 15 49 
485 5 14 45 
486 50 4 38 
487 49 41 23 
488 18 48 1 
489 21 17 44 
490 18 2 32 
491 17 26 19 
492 11 41 15 
493 30 35 29 
494 43 37 15 
495 14 31 7 
496 24 9 21 
497 23 45 31 
498 1 4 44 
499 25 15 1 
500 9 29 27 
501 18 26 22 
502 19 11 6 
503 17 37 26 
504 38 47 15 
505 16 24 11 
506 37 33 4 
507 29 7 21 
508 20 48 18 
509 44 4 47 
510 20 38 48 
511 20 15 12 
512 16 40 26 
513 37 25 19 
514 17 35 50 
515 44 32 42 
516 25 48 5 
517 26 43 27 
518 48 20 17 
519 13 30 33 
520 28 40 9 
521 27 25 43 
522 34 6 15 
523 25 46 39 
524 13 33 23 
525 44 29 1 
526 21 20 23 
527 6 31 1 
528 24 11 17 
529 50 35 2 
530 24 17 37 
531 46 12 12 
532 25 33 50 
533 21 22 45 
534 6 34 18 
535 12 12 25 
536 26 30 32 
537 29 45 33 
538 42 3 23 
539 12 42 37 
540 9 7 28 
541 27 38 42 
542 34 43 49 
543 24 36 4 
544 8 31 33 
545 25 34 47 
546 21 22 50 
547 24 39 1 
548 46 21 32 
549 41 33 45 
550 13 29 36 
551 16 35 40 
552 12 25 38 
553 25 42 3 
554 45 47 17 
555 46 9 30 
556 6 19 40 
557 18 48 15 
558 20 25 11 
559 30 14 49 
560 43 20 33 
561 16 19 7 
562 25 45 1 
563 13 23 44 
564 3 21 41 
565 17 16 43 
566 33 9 19 
567 20 36 41 
568 1 27 18 
569 14 38 44 
570 28 30 44 
571 49 45 40 
572 7 9 48 
573 30 49 24 
574 45 16 7 
575 25 12 19 
576 22 9 26 
577 26 49 50 
578 18 45 17 
579 50 39 26 
580 16 25 42 
581 32 22 8 
582 12 7 20 
583 42 11 30 
584 34 31 24 
585 45 46 42 
586 10 14 32 
587 15 10 12 
588 12 23 31 
589 5 2 4 
590 5 41 21 
591 45 1 1 
592 31 12 37 
593 38 19 35 
594 7 36 5 
595 15 40 42 
596 39 3 23 
597 10 7 14 
598 36 29 48 
599 37 35 35 
600 6 6 49 
601 3 42 41 
602 44 14 31 
603 40 35 32 
604 31 41 32 
605 33 22 20 
606 16 39 4 
607 36 28 9 
608 11 10 38 
609 30 34 29 
610 9 27 19 
611 33 10 27 
612 45 17 25 
613 30 47 13 
614 30 27 48 
615 7 14 47 
616 15 32 42 
617 48 42 18 
618 19 21 26 
619 21 10 20 
