4 
1000 1000 1000 1000  
1 750 301 353 238 
2 223 341 530 575 
3 638 658 455 202 
4 539 407 420 370 
5 488 352 708 284 
6 378 341 515 526 
7 422 717 411 382 
8 475 446 586 766 
9 346 571 729 445 
10 494 427 311 537 
11 307 552 345 796 
12 401 231 440 331 
13 585 656 251 407 
14 312 465 602 583 
15 663 678 273 340 
16 373 443 637 670 
17 774 598 231 347 
18 240 334 487 683 
19 355 795 384 403 
20 403 395 721 250 
21 492 693 684 481 
22 618 643 653 395 
23 292 436 545 367 
24 470 416 267 240 
25 310 389 430 511 
26 323 257 319 364 
27 286 634 339 552 
28 536 510 276 474 
29 737 800 707 282 
30 764 689 412 414 
31 408 669 569 454 
32 674 410 495 697 
33 452 386 222 289 
34 741 706 525 567 
35 616 343 726 473 
36 287 734 595 296 
37 670 447 545 731 
38 512 261 261 415 
39 418 777 364 280 
40 691 667 477 354 
41 259 524 550 601 
42 500 421 755 604 
43 235 298 673 588 
44 579 639 651 365 
45 588 231 445 394 
46 507 359 761 435 
47 302 285 523 417 
48 250 749 542 664 
49 661 534 352 286 
50 767 437 652 357 
51 218 706 233 513 
52 231 603 655 381 
53 325 659 589 375 
54 757 325 224 398 
55 252 761 342 737 
56 373 546 498 527 
57 502 210 642 600 
58 527 566 259 518 
59 674 265 388 284 
60 257 749 317 628 
61 797 575 627 515 
62 627 217 207 566 
63 629 317 587 633 
64 670 576 515 671 
65 693 376 411 615 
66 289 490 539 443 
67 572 782 273 775 
68 603 730 743 267 
69 511 708 623 444 
70 749 537 484 677 
71 628 468 564 729 
72 786 683 720 782 
73 721 534 533 560 
74 481 628 564 227 
75 209 682 244 234 
76 314 359 703 770 
77 758 660 591 257 
78 415 201 734 229 
79 737 688 542 722 
80 648 573 704 697 
81 637 539 495 483 
82 304 513 430 276 
83 534 709 451 499 
84 479 284 653 213 
85 335 364 689 427 
86 279 656 623 305 
87 715 248 644 302 
88 742 532 649 369 
89 454 731 322 285 
90 402 576 439 228 
91 478 672 745 467 
92 485 556 710 234 
93 582 355 609 681 
94 279 221 777 550 
95 585 768 776 574 
96 302 400 750 414 
97 510 374 638 512 
98 754 345 315 285 
99 714 473 507 786 
100 659 297 660 659 
101 680 455 315 254 
102 250 683 705 564 
103 619 530 528 706 
104 441 286 573 660 
105 705 308 233 647 
106 750 207 225 732 
107 261 615 321 658 
108 315 528 204 471 
109 486 732 305 698 
110 644 375 648 553 
111 722 577 211 200 
112 597 658 725 236 
113 276 608 463 596 
114 280 742 502 771 
115 241 416 350 331 
116 420 331 562 421 
117 279 504 444 473 
118 462 390 501 363 
119 356 451 482 490 
120 271 236 298 764 
121 395 317 557 786 
122 511 744 792 732 
123 713 434 582 669 
124 626 301 774 739 
125 327 778 738 610 
126 262 339 678 741 
127 710 536 374 797 
128 257 608 762 226 
129 361 440 739 286 
130 487 446 760 533 
131 480 767 646 721 
132 232 484 229 632 
133 480 350 630 253 
134 584 339 671 466 
135 259 266 481 321 
136 492 763 638 318 
137 646 474 290 288 
138 301 277 503 699 
139 689 605 751 361 
140 529 377 562 627 
141 764 356 421 299 
142 368 649 434 642 
143 738 448 708 612 
144 762 603 780 236 
145 362 389 227 562 
146 445 278 676 489 
147 552 372 741 372 
148 217 442 428 681 
149 640 609 487 604 
150 277 410 410 685 
151 466 250 269 519 
152 346 601 451 799 
153 609 251 640 359 
154 800 793 340 292 
155 524 308 281 372 
156 781 677 752 794 
157 432 616 439 205 
158 798 519 400 667 
159 665 392 307 329 
160 521 779 705 792 
161 450 420 476 243 
162 428 471 380 668 
163 213 282 202 407 
164 414 651 381 417 
165 334 332 267 776 
166 612 688 312 435 
167 736 778 764 206 
168 610 382 649 234 
169 536 408 548 392 
170 264 694 778 630 
171 625 691 275 690 
172 765 699 400 543 
173 674 453 334 304 
174 452 701 470 354 
175 492 696 687 368 
176 301 535 405 504 
177 367 456 343 635 
178 345 377 286 360 
179 783 581 225 430 
180 781 412 321 442 
181 537 456 279 426 
182 687 721 663 287 
183 694 378 271 430 
184 640 394 274 752 
185 373 759 800 715 
186 698 703 770 343 
187 418 225 368 249 
188 422 700 622 735 
189 311 326 586 453 
190 722 571 595 408 
191 686 308 605 718 
192 609 652 687 301 
193 330 399 236 248 
194 276 279 746 267 
195 501 604 313 717 
196 388 630 741 461 
197 580 656 778 254 
198 345 662 565 373 
199 677 756 474 773 
200 494 385 274 757 
201 657 517 596 514 
202 549 291 212 541 
203 600 376 376 419 
204 713 447 681 393 
205 235 597 590 712 
206 754 200 232 271 
207 787 691 450 418 
208 386 261 512 644 
209 248 787 723 314 
210 721 675 347 356 
211 658 238 281 532 
212 605 657 298 481 
213 700 766 617 659 
214 761 528 675 432 
215 266 528 543 554 
216 233 607 606 290 
217 273 542 275 324 
218 523 680 276 543 
219 488 211 469 373 
220 293 323 750 206 
221 265 643 270 372 
222 252 503 238 312 
223 457 376 488 215 
224 427 674 604 729 
225 223 508 692 547 
226 686 394 311 278 
227 784 631 538 300 
228 226 437 670 605 
229 494 290 718 291 
230 293 278 529 352 
231 619 751 727 585 
232 346 677 666 200 
233 655 752 475 494 
234 383 764 507 422 
235 560 736 688 701 
236 745 729 468 265 
237 612 516 612 575 
238 773 389 521 578 
239 692 770 466 202 
240 501 742 502 404 
241 788 654 761 406 
242 492 748 714 209 
243 301 654 605 527 
244 740 731 725 663 
245 430 550 433 666 
246 749 230 425 712 
247 469 504 496 788 
248 679 651 234 560 
249 726 686 648 562 
250 213 275 415 348 
251 516 467 585 412 
252 459 498 750 211 
253 704 262 518 333 
254 544 591 225 340 
255 682 328 260 535 
256 582 717 740 311 
257 584 541 254 231 
258 513 727 728 482 
259 265 343 780 688 
260 799 478 201 471 
261 602 662 538 527 
262 592 631 563 203 
263 555 487 431 273 
264 580 549 310 777 
265 309 510 785 283 
266 721 227 589 356 
267 526 502 627 440 
268 270 314 237 459 
269 761 312 679 668 
270 615 763 753 674 
271 325 381 419 714 
272 687 334 510 444 
273 730 670 780 351 
274 433 412 441 723 
275 778 642 348 380 
276 701 428 779 373 
277 639 205 300 345 
278 783 387 203 784 
279 635 519 546 625 
280 584 446 297 530 
281 421 414 494 661 
282 202 301 701 238 
283 495 299 623 674 
284 409 797 710 526 
285 350 293 716 392 
286 676 579 655 557 
287 331 596 393 493 
288 444 563 293 615 
289 640 555 624 596 
290 408 244 304 534 
291 678 274 565 330 
292 570 674 509 505 
293 245 615 654 510 
294 782 576 491 402 
295 562 255 517 599 
296 683 783 245 622 
297 631 384 446 580 
298 311 629 799 752 
299 545 596 754 391 
300 369 581 204 574 
301 720 333 644 381 
302 756 646 374 610 
303 748 454 357 565 
304 532 308 532 664 
305 612 716 497 744 
306 799 792 503 744 
307 551 597 424 723 
308 399 644 770 219 
309 675 669 355 597 
310 308 635 212 491 
311 399 504 317 397 
312 530 670 354 643 
313 715 765 550 636 
314 296 277 293 420 
315 460 798 743 482 
316 501 646 520 265 
317 303 319 296 691 
318 554 518 262 492 
