4 
150 150 150 150  
1 86 85 92 84 
2 33 28 24 24 
3 77 73 62 65 
4 84 91 95 93 
5 88 89 90 100 
6 35 27 90 90 
7 75 83 66 68 
8 26 30 74 79 
9 63 53 26 34 
10 99 96 24 33 
11 94 87 55 50 
12 20 14 85 91 
13 67 71 63 71 
14 36 30 59 49 
15 32 34 70 70 
16 70 68 69 59 
17 67 65 59 50 
18 43 51 74 73 
19 92 92 79 76 
20 56 49 60 50 
21 68 71 76 86 
22 33 29 54 55 
23 21 13 24 17 
24 27 17 51 41 
25 36 31 54 44 
26 80 83 84 86 
27 81 71 67 64 
28 93 103 79 79 
29 48 42 35 36 
30 31 25 40 50 
31 51 49 75 74 
32 31 23 37 41 
33 52 52 65 74 
34 71 81 50 54 
35 90 100 26 19 
36 95 92 99 95 
37 34 36 62 60 
38 31 37 58 54 
39 21 19 41 33 
40 20 11 38 34 
41 65 68 29 34 
42 48 51 84 83 
43 68 73 76 70 
44 52 43 83 90 
45 82 92 89 95 
46 71 74 52 49 
47 77 69 59 67 
48 83 82 64 54 
49 21 26 34 41 
50 91 101 84 84 
51 66 72 81 71 
52 45 51 71 72 
53 37 30 26 30 
54 66 70 76 85 
55 90 82 58 64 
56 93 93 93 83 
57 93 86 57 65 
58 65 73 70 77 
59 55 61 26 26 
60 31 32 78 76 
61 46 44 82 80 
62 29 29 80 89 
63 75 74 91 87 
64 35 25 38 34 
65 38 45 100 100 
66 99 94 55 65 
67 98 93 70 75 
68 28 28 43 38 
69 91 96 60 59 
70 82 90 70 65 
71 88 95 82 82 
72 97 91 75 69 
73 81 73 74 76 
74 27 18 40 40 
75 87 87 30 27 
76 83 74 42 39 
77 66 58 73 73 
78 64 60 99 104 
79 21 30 39 34 
80 54 46 51 61 
81 80 74 69 65 
82 64 64 22 32 
83 58 67 100 109 
84 61 69 26 19 
85 47 39 95 95 
86 98 100 29 39 
87 70 68 20 10 
88 44 42 80 89 
89 26 26 62 62 
90 71 72 82 91 
91 98 94 43 50 
92 89 96 96 91 
93 25 32 72 79 
94 87 84 94 103 
95 39 45 83 75 
96 39 48 72 79 
97 43 43 64 56 
98 95 89 88 90 
99 59 57 77 83 
100 81 75 43 42 
101 52 48 59 59 
102 59 55 48 40 
103 86 94 50 50 
104 88 94 43 38 
105 51 55 96 103 
106 72 77 92 92 
107 82 73 59 54 
108 26 32 64 64 
109 62 59 64 64 
110 36 29 50 50 
111 63 59 92 97 
112 83 83 81 71 
113 41 39 45 55 
114 39 39 77 77 
115 87 84 29 26 
116 97 90 51 41 
117 40 48 85 85 
118 47 56 58 48 
119 71 64 39 44 
120 36 29 52 57 
121 68 63 93 86 
122 48 53 33 34 
123 97 104 86 77 
124 41 36 68 61 
125 40 37 55 62 
126 41 41 25 30 
127 55 49 72 71 
128 79 87 82 85 
129 31 28 92 101 
130 67 67 45 38 
131 23 14 48 58 
132 60 51 60 63 
133 91 83 30 22 
134 32 25 88 78 
135 30 37 51 53 
136 79 71 23 18 
137 69 73 96 93 
138 58 54 21 30 
139 76 74 38 42 
140 84 76 50 45 
141 95 93 75 65 
142 100 105 74 67 
143 88 96 82 84 
144 71 69 72 74 
145 61 70 62 52 
146 51 56 36 42 
147 79 78 56 58 
148 31 23 95 105 
149 42 33 53 55 
150 65 74 87 91 
151 63 54 21 29 
152 60 67 21 14 
153 45 36 86 78 
154 25 20 55 47 
155 85 83 58 62 
156 88 96 31 33 
157 89 87 67 73 
158 54 55 56 58 
159 93 101 32 24 
160 45 53 66 56 
161 38 34 59 56 
162 79 79 62 52 
163 51 49 99 105 
164 20 16 74 64 
165 33 43 46 36 
166 72 76 45 48 
167 89 89 76 75 
168 51 61 59 58 
169 62 64 74 82 
170 72 63 42 47 
171 48 49 83 93 
172 81 86 67 76 
173 41 49 34 25 
