6 
1000 1000 1000 1000 1000 1000 
1 525 500 739 456 565 740 
2 392 262 686 716 756 612 
3 752 736 549 719 624 269 
4 616 346 784 585 330 722 
5 315 519 491 308 236 233 
6 755 395 353 614 234 444 
7 613 752 202 272 276 704 
8 239 555 777 547 732 313 
9 452 221 714 660 678 346 
10 320 552 240 590 642 746 
11 252 418 371 404 475 759 
12 246 524 554 542 758 519 
13 436 589 442 422 783 209 
14 274 313 534 650 662 343 
15 271 731 276 648 323 373 
16 265 212 773 587 317 422 
17 560 287 225 583 685 627 
18 567 446 431 791 800 709 
19 655 671 666 289 732 380 
20 244 453 425 756 703 586 
21 442 429 374 354 314 269 
22 371 321 306 344 683 626 
23 345 366 760 405 524 579 
24 619 614 285 213 607 326 
25 283 432 589 792 473 349 
26 393 442 404 655 320 707 
27 397 310 307 476 265 717 
28 575 535 452 603 329 679 
29 390 749 487 205 419 733 
30 293 467 480 646 456 346 
31 459 256 507 504 367 519 
32 580 758 540 785 574 366 
33 768 750 671 541 437 566 
34 223 749 610 629 627 389 
35 659 286 298 294 743 442 
36 437 551 381 555 237 457 
37 403 223 552 322 522 400 
38 565 780 744 450 237 709 
39 496 689 460 781 341 683 
40 446 281 345 274 623 641 
41 203 750 275 402 242 670 
42 650 744 404 415 576 288 
43 743 459 508 675 656 727 
44 715 305 493 709 345 637 
45 610 277 236 680 265 694 
46 718 322 220 739 411 206 
47 344 341 349 798 681 330 
48 416 665 261 625 331 201 
49 373 678 252 221 255 351 
50 489 736 382 726 222 460 
51 296 323 229 283 760 539 
52 630 561 418 426 612 370 
53 435 723 361 241 327 299 
54 454 336 726 213 386 365 
55 639 409 717 232 615 775 
56 221 285 496 596 224 457 
57 776 361 511 238 209 235 
58 499 388 676 611 775 744 
59 449 459 688 716 752 540 
60 295 604 305 345 733 303 
61 715 627 793 407 306 213 
62 321 389 629 552 531 578 
63 782 695 574 231 760 271 
64 460 547 400 558 581 534 
65 583 707 404 762 283 388 
66 294 355 473 783 495 205 
67 621 328 742 679 538 442 
68 706 548 286 294 461 254 
69 645 758 614 210 522 211 
70 226 236 747 787 495 213 
71 429 272 776 788 341 305 
72 344 546 620 577 327 261 
73 522 284 684 520 361 305 
74 499 470 606 215 565 340 
75 757 300 591 455 685 746 
76 325 753 600 489 319 653 
77 641 331 645 496 439 235 
78 356 718 744 468 538 379 
79 499 663 575 236 365 750 
80 559 757 524 747 419 482 
81 294 441 332 440 793 496 
82 692 448 526 280 221 694 
83 379 703 604 688 339 547 
84 407 777 374 340 671 205 
85 517 423 321 564 362 721 
86 664 709 740 314 322 448 
87 621 474 330 595 211 787 
88 573 551 580 246 225 398 
89 454 611 631 219 585 543 
90 200 316 255 786 563 665 
91 293 372 344 633 518 341 
92 363 596 458 781 532 530 
93 771 460 584 250 419 580 
94 708 425 202 592 502 309 
95 442 235 488 484 403 365 
96 665 315 511 342 534 665 
97 765 338 385 513 353 701 
98 711 633 212 678 536 249 
99 367 344 222 508 388 755 
100 486 435 800 603 420 752 
101 257 657 414 240 534 307 
102 495 455 406 403 696 454 
103 779 590 251 472 409 700 
104 270 335 362 566 755 744 
105 594 656 668 552 415 235 
106 314 271 321 583 505 585 
107 674 429 425 419 255 670 
108 420 596 726 233 562 416 
109 327 765 618 463 214 476 
110 483 580 759 414 310 618 
111 477 523 302 325 420 603 
112 655 310 228 597 432 531 
113 257 745 369 740 767 220 
114 538 204 330 300 441 695 
115 251 613 698 343 473 220 
116 682 305 409 375 745 400 
117 462 278 745 527 292 792 
118 706 624 725 478 557 764 
119 760 490 758 655 697 202 
120 332 522 653 446 750 349 
121 383 764 658 478 392 370 
122 748 385 234 491 559 425 
123 726 410 525 564 512 368 
124 773 356 511 518 779 598 
125 213 669 600 294 204 516 
126 731 227 266 567 367 642 
127 613 714 316 574 591 656 
128 761 278 208 707 734 472 
129 222 385 665 321 436 209 
130 718 405 791 512 651 781 
131 698 232 579 576 727 710 
132 643 614 769 528 783 502 
133 348 587 555 204 686 476 
134 210 339 519 482 229 430 
135 606 377 658 232 393 256 
136 692 640 554 441 580 522 
137 236 331 278 715 259 669 
138 537 240 695 739 533 296 
139 364 356 241 793 434 421 
140 555 539 399 345 680 768 
141 315 201 340 610 645 289 
142 271 695 415 606 387 783 
143 464 727 753 549 614 345 
144 587 446 765 647 562 363 
145 617 767 308 514 530 222 
146 388 505 468 685 344 447 
147 664 379 623 749 706 789 
148 639 548 730 791 420 646 
149 671 258 487 392 351 642 
150 711 320 298 292 269 612 
151 559 767 517 286 746 251 
152 536 565 568 415 567 488 
153 660 548 290 283 471 355 
154 563 800 638 477 408 521 
155 797 577 236 759 328 564 
156 782 742 728 740 320 788 
157 638 744 363 569 587 632 
158 386 272 476 411 538 411 
159 401 761 782 244 377 372 
160 255 283 758 415 455 752 
161 332 392 630 601 438 469 
162 236 336 669 705 754 524 
163 295 404 678 449 320 509 
164 781 392 522 614 552 411 
165 660 400 522 349 213 218 
166 428 406 532 256 626 777 
167 753 529 433 690 513 274 
168 518 213 623 720 469 516 
169 762 799 265 500 775 301 
170 351 727 320 495 458 736 
171 236 459 365 382 733 369 
172 624 387 602 560 341 243 
173 430 385 257 632 706 776 
174 799 200 494 581 667 584 
175 353 541 784 785 250 355 
176 267 273 681 291 332 498 
177 738 634 657 556 649 413 
178 490 586 212 203 264 792 
179 284 703 308 435 762 431 
180 576 344 373 233 331 773 
181 391 713 642 203 548 696 
182 551 388 272 739 771 714 
183 250 427 340 454 218 788 
184 636 426 327 753 468 660 
185 301 512 276 688 248 716 
186 351 444 727 722 540 275 
187 391 537 758 292 227 469 
188 464 777 505 407 373 214 
189 714 747 243 204 317 419 
190 475 290 769 645 427 452 
191 337 708 257 644 725 283 
192 628 342 666 276 650 516 
193 611 599 257 683 329 312 
194 674 363 386 491 372 258 
195 781 716 607 411 708 456 
196 659 548 286 531 645 795 
197 700 410 739 334 282 210 
198 430 711 275 509 789 329 
199 232 550 739 577 305 356 
200 593 604 283 547 217 482 
201 724 224 511 562 218 701 
202 341 331 544 274 473 570 
203 507 415 466 226 485 289 
204 693 476 470 460 293 636 
205 658 638 542 378 699 433 
206 624 773 467 547 467 288 
207 201 292 361 472 365 290 
208 385 479 417 717 566 418 
209 765 621 452 421 480 494 
210 614 207 665 583 798 331 
211 496 202 650 211 263 745 
212 772 257 656 324 267 223 
213 446 271 308 365 767 423 
214 641 288 519 392 289 717 
215 662 578 778 714 448 351 
216 585 483 433 679 627 508 
217 377 592 435 640 355 788 
218 645 401 354 491 638 753 
219 759 202 696 673 472 326 
220 225 218 687 608 563 464 
221 255 768 338 520 411 270 
222 664 271 765 740 314 628 
223 729 231 786 599 691 301 
224 441 522 649 315 750 393 
225 200 600 517 446 496 655 
226 406 642 609 781 776 320 
227 567 742 281 217 683 691 
228 252 668 276 332 774 362 
229 308 395 530 407 330 660 
230 492 780 478 441 678 747 
231 561 711 507 645 769 371 
232 231 745 531 324 786 445 
233 369 688 380 647 637 528 
234 546 417 583 229 276 374 
235 398 687 448 788 744 540 
236 296 650 339 533 760 337 
237 766 386 242 428 598 620 
238 349 371 270 360 670 321 
239 387 591 261 386 515 461 
240 288 546 346 287 378 674 
241 460 342 263 723 302 691 
242 300 454 713 284 777 202 
243 351 766 745 517 625 547 
244 668 663 209 800 576 602 
245 739 498 685 245 383 566 
246 747 312 322 282 391 354 
247 357 779 650 549 297 465 
248 800 644 216 615 592 632 
249 396 287 708 705 512 371 
250 264 323 741 349 423 263 
251 722 591 256 316 465 557 
252 615 456 774 219 684 285 
253 658 654 223 524 225 478 
254 598 724 238 216 754 733 
255 531 417 484 414 347 387 
256 614 712 553 769 800 616 
257 682 720 446 557 760 719 
258 638 508 267 533 403 701 
259 266 397 663 280 204 282 
260 249 586 654 784 201 651 
261 315 230 770 788 642 539 
262 769 692 621 525 501 595 
263 592 463 558 755 749 634 
264 709 523 706 445 688 403 
265 557 228 532 290 275 785 
266 667 610 611 759 590 715 
267 638 624 538 673 239 287 
268 675 587 624 751 618 213 
269 260 263 638 323 642 507 
270 446 327 612 661 730 613 
271 396 221 629 718 356 552 
272 795 688 331 774 269 470 
273 430 202 459 789 211 501 
274 734 311 758 523 690 790 
275 243 276 688 480 277 427 
276 446 429 425 615 222 766 
277 284 450 346 353 424 583 
278 419 357 382 380 782 439 
279 360 700 635 673 542 478 
280 712 371 690 329 285 406 
281 507 309 469 340 704 416 
282 348 444 221 456 648 649 
283 303 210 479 670 685 413 
284 747 301 465 610 524 296 
285 669 327 210 648 343 775 
286 256 759 315 490 413 207 
287 453 299 739 643 584 344 
288 622 612 481 426 784 785 
289 596 369 634 267 389 477 
290 649 324 292 314 712 745 
291 656 563 540 246 548 485 
292 491 424 749 545 738 564 
293 567 730 469 340 729 640 
294 362 506 283 302 677 624 
295 651 426 228 675 208 740 
296 429 505 209 504 383 744 
297 255 290 779 313 379 535 
298 587 692 272 461 231 227 
299 634 634 577 283 575 672 
300 564 705 619 410 297 547 
301 511 446 213 325 305 342 
302 793 467 638 315 404 468 
303 253 432 532 241 491 469 
304 407 261 458 698 654 572 
305 761 252 536 556 481 354 
306 463 264 511 384 422 591 
307 549 399 672 315 757 499 
308 237 744 731 204 567 295 
309 405 779 653 656 646 536 
310 527 279 306 579 308 654 
311 674 697 531 640 778 586 
312 734 484 542 209 482 443 
313 479 723 227 447 701 443 
314 332 220 658 631 323 455 
315 283 764 660 557 656 212 
316 800 528 652 223 711 241 
317 549 798 587 632 651 281 
318 609 476 262 443 626 658 
319 547 597 311 763 713 574 
320 357 291 206 316 678 549 
321 230 657 633 637 790 527 
322 624 761 452 298 210 671 
323 552 504 221 601 551 357 
324 765 221 600 672 535 221 
325 307 630 768 562 678 635 
326 551 381 271 420 403 291 
327 577 584 725 466 325 365 
328 332 206 228 224 637 774 
329 244 306 354 502 594 519 
330 515 337 591 457 684 238 
331 598 414 515 650 546 446 
332 372 743 208 785 217 283 
333 412 270 516 340 354 354 
334 329 585 572 207 608 671 
335 346 678 534 207 381 791 
336 401 321 454 531 346 572 
337 338 462 501 531 395 423 
338 579 622 285 397 495 759 
339 404 290 663 307 571 446 
340 390 637 270 336 668 547 
341 652 287 292 465 303 564 
342 691 747 529 549 208 620 
343 417 523 430 691 401 446 
344 655 785 568 579 393 609 
345 293 445 377 651 787 209 
346 596 757 712 730 569 380 
347 363 533 777 542 800 499 
348 800 485 797 660 281 369 
349 597 385 482 215 525 549 
350 750 650 338 450 265 276 
351 237 742 276 286 366 753 
352 299 539 769 205 287 745 
353 467 289 278 607 310 295 
354 740 402 316 617 353 366 
355 562 730 480 494 339 669 
356 740 341 264 626 411 748 
357 246 299 535 252 265 490 
358 639 397 610 783 685 519 
359 240 201 619 652 272 729 
360 412 792 250 405 562 329 
361 759 234 780 425 495 280 
362 233 696 675 710 773 269 
363 570 672 800 653 573 683 
364 226 548 585 330 606 592 
365 299 478 348 554 672 256 
366 316 218 326 698 764 608 
367 512 737 477 703 788 356 
368 677 396 339 431 724 313 
369 640 370 689 462 201 545 
370 755 784 679 370 701 460 
371 374 585 774 460 446 588 
372 371 442 765 428 753 484 
373 405 554 614 754 752 405 
374 372 541 491 241 678 279 
375 221 314 202 580 557 261 
376 292 720 352 324 518 402 
377 769 258 349 505 279 652 
378 622 534 322 607 750 212 
379 390 245 343 211 789 662 
380 696 663 560 624 734 273 
381 564 779 325 767 301 254 
382 222 396 767 653 778 429 
383 574 450 410 495 705 335 
384 222 315 757 344 468 551 
385 323 429 343 364 751 687 
386 693 784 393 583 487 384 
387 598 248 340 497 779 721 
388 685 502 493 750 350 769 
389 395 428 294 514 737 611 
390 588 216 385 747 313 510 
391 729 512 551 340 375 577 
392 315 673 709 794 317 748 
393 722 287 357 367 283 776 
394 519 279 537 200 435 229 
395 780 723 442 582 345 201 
396 449 563 205 563 326 558 
397 333 346 326 433 239 366 
398 722 359 759 416 671 392 
399 481 354 252 400 437 490 
400 256 577 546 627 769 398 
401 355 654 538 287 412 590 
