6 
1000 1000 1000 1000 1000 1000 
1 151 121 87 160 73 127 
2 107 60 99 67 145 170 
3 160 102 177 73 74 121 
4 81 195 168 198 190 142 
5 98 72 106 164 103 88 
6 53 65 138 74 139 190 
7 181 58 181 171 192 141 
8 167 88 117 193 123 114 
9 134 169 77 108 161 91 
10 198 91 90 138 131 87 
11 86 56 144 79 87 131 
12 57 79 135 99 54 160 
13 137 171 109 101 66 171 
14 61 85 146 99 145 59 
15 173 161 195 113 60 150 
16 69 164 194 185 124 157 
17 166 152 166 109 108 170 
18 116 53 74 130 118 90 
19 147 106 77 149 112 116 
20 120 86 195 102 156 181 
21 107 101 176 120 177 180 
22 139 173 172 136 140 150 
23 131 143 176 181 107 151 
24 60 123 170 147 125 106 
25 60 152 78 73 112 75 
26 174 87 180 130 163 195 
27 116 122 78 132 65 180 
28 71 107 86 98 153 125 
29 136 109 157 98 52 185 
30 132 163 60 174 128 58 
31 94 119 177 163 196 120 
32 145 198 195 160 191 105 
33 151 52 153 157 114 150 
34 149 68 105 175 60 113 
35 155 189 53 58 178 187 
36 170 72 157 186 85 141 
37 112 118 195 125 181 64 
38 96 107 118 120 174 193 
39 138 200 105 96 164 134 
40 170 127 133 52 168 151 
41 106 168 95 50 99 130 
42 187 123 191 172 120 165 
43 160 126 170 197 153 147 
44 135 179 149 138 162 159 
45 163 107 175 97 137 141 
46 196 61 118 146 150 54 
47 127 91 68 193 104 177 
48 111 167 123 129 143 84 
49 133 185 124 78 59 172 
50 101 74 81 168 197 170 
51 192 157 121 76 187 131 
52 178 184 142 69 155 191 
53 72 60 75 78 181 129 
54 74 197 80 198 125 181 
55 118 67 195 137 152 183 
56 148 84 148 194 193 144 
57 117 107 96 174 84 159 
58 65 189 184 90 174 135 
59 99 110 150 120 75 62 
60 127 187 131 176 175 134 
61 83 70 100 83 157 183 
62 103 96 200 154 104 57 
63 199 82 98 77 61 78 
64 85 86 177 199 86 92 
65 144 64 60 89 199 72 
66 147 151 140 135 188 148 
67 140 50 120 53 182 196 
68 200 72 188 142 193 132 
